CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,18:40:30 - April 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
18:40:40 04/02/25,37,37,37,37,37,37,,,36,38,2,4599.99,,36,38,1,4599.99,,36,38,1,4599.99,,36,38,7,4599.99,,36,38,0,4599.99,,36,38,6,4599.99,40.8,
18:40:50 04/02/25,40,40,40,40,40,40,,,36,40,10,4599.99,,36,40,13,4599.99,,36,40,5,4599.99,,36,40,33,4599.99,,36,40,3,4599.99,,36,40,16,4599.99,49.4,
18:41:00 04/02/25,65,65,65,65,65,65,,,36,65,100,4599.99,,36,65,100,4599.99,,36,65,100,4599.99,,36,65,100,4599.99,,36,65,100,4599.99,,36,65,100,4599.99,95.3,
18:41:10 04/02/25,66,66,66,66,66,66,,,36,66,100,4599.99,,36,66,100,4599.99,,36,66,100,4599.99,,36,66,100,4599.99,,36,66,100,4599.99,,36,66,100,4599.99,94.6,
18:41:20 04/02/25,67,67,67,67,67,67,,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,98.2,
18:41:30 04/02/25,67,67,67,67,67,67,,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,98.5,
18:41:40 04/02/25,67,67,67,67,67,67,,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,96.9,
18:41:50 04/02/25,67,67,67,67,67,67,,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,93.2,
18:42:00 04/02/25,66,66,66,66,66,66,,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,,36,67,100,4599.99,89.8,
18:42:10 04/02/25,63,63,63,63,63,63,,,36,67,1,4599.99,,36,67,1,4599.99,,36,67,0,4599.99,,36,67,16,4599.99,,36,67,0,4599.99,,36,67,9,4599.99,42.6,

Session end:,18:42:18 - April 02 - 2025

