CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,20:14:37 - March 27 - 2026

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
20:14:47 03/27/26,57,57,57,57,57,57,,,56,57,30,4649.98,,56,57,47,4649.98,,56,57,26,4649.98,,56,57,42,4649.98,,56,57,31,4649.98,,56,57,47,4649.98,56.5,
20:14:57 03/27/26,56,56,56,56,56,56,,,56,57,22,4649.98,,56,57,29,4649.98,,56,57,23,4649.98,,56,57,36,4649.98,,56,57,11,4649.98,,56,57,36,4649.98,50.9,
20:15:07 03/27/26,57,57,57,57,57,57,,,56,58,31,4649.98,,56,58,43,4649.98,,56,58,22,4649.98,,56,58,40,4649.98,,56,58,22,4649.98,,56,58,48,4649.98,52.5,
20:15:17 03/27/26,57,57,57,57,57,57,,,56,58,23,4649.98,,56,58,28,4649.98,,56,58,19,4649.98,,56,58,36,4649.98,,56,58,13,4649.98,,56,58,44,4649.98,50.5,
20:15:27 03/27/26,57,57,57,57,57,57,,,56,58,31,4649.98,,56,58,31,4649.98,,56,58,27,4649.98,,56,58,45,4649.98,,56,58,19,4649.98,,56,58,48,4649.98,52.6,
20:15:37 03/27/26,57,57,57,57,57,57,,,56,58,25,4649.98,,56,58,35,4649.98,,56,58,20,4649.98,,56,58,39,4649.98,,56,58,10,4649.98,,56,58,44,4649.98,51.3,
20:15:47 03/27/26,57,57,57,57,57,57,,,56,58,31,4649.98,,56,58,44,4649.98,,56,58,26,4649.98,,56,58,47,4649.98,,56,58,20,4649.98,,56,58,53,4649.98,51.6,

Session end:,20:15:56 - March 27 - 2026

